loan_id,origination_date,sector,region,years_trading,turnover_gbp,employees,ebitda_margin,leverage,interest_coverage,loan_amount_gbp,term_months,secured,ltv,bureau_score,days_past_due,default_12m,lgd,ead_gbp,boe_base_rate,uk_unemployment_rate,uk_gdp_yoy,pd_raw,pd_calibrated,stage,ecl_horizon_m,pd_lifetime,pd_for_ecl,ecl
UKSME-100036,2023-06-19,Technology,South East,3.7,919011.0,6,0.1573,1.66,8.62,47662.0,12,1,0.503,651,0,0,0.334,44922.0,5.25,4.3,0.6,0.09422759976140262,0.09532891287965138,Stage 1,12,0.0953289128796514,0.09532891287965138,1639.8504743231429
UKSME-100037,2022-06-08,Retail,West Midlands,5.8,263639.0,1,0.058,6.77,2.11,66099.0,72,0,0.0,660,0,0,0.611,50149.0,5.25,4.3,0.6,0.24283881566902146,0.24567706660604507,Stage 2,60,0.755777002088698,0.755777002088698,25669.0811322695
UKSME-100038,2022-04-19,Technology,West Midlands,9.8,5704831.0,74,0.152,2.92,4.89,52977.0,48,1,0.812,634,0,0,0.248,42642.0,5.25,4.3,0.6,0.13633388055831716,0.13792732336595342,Stage 1,12,0.13792732336595348,0.13792732336595342,1672.2977831021865
UKSME-100039,2021-05-06,Retail,South East,12.5,1251740.0,8,0.1546,2.25,6.34,277049.0,24,1,0.924,721,0,0,0.204,238157.0,5.25,4.3,0.6,0.120487534576109,0.12189576849854915,Stage 1,12,0.1218957684985491,0.12189576849854915,6789.787888282932
UKSME-100040,2022-09-05,Hospitality,South West,19.8,233138.0,2,0.1017,3.69,3.87,52824.0,36,1,0.607,635,0,1,0.134,52573.0,5.25,4.3,0.6,0.1634869866881873,0.1653977895056057,Stage 3,36,0.41864877504467324,0.41864877504467324,3381.3602452286286
UKSME-100041,2023-01-29,Technology,Scotland,6.5,2367234.0,33,0.1087,3.2,4.46,109784.0,60,0,0.0,718,0,1,0.731,82762.0,5.25,4.3,0.6,0.15851379819373293,0.16036647539039547,Stage 3,60,0.5826995499258932,0.5826995499258932,40417.28118879397
UKSME-100042,2024-02-16,Professional Services,South East,24.0,1991981.0,15,0.0511,10.71,1.33,145479.0,24,1,0.614,737,0,0,0.472,119514.0,5.25,4.3,0.6,0.16004304146542878,0.16191359214799542,Stage 2,24,0.2976111729737234,0.2976111729737234,19247.931802044397
UKSME-100043,2021-01-10,Wholesale,South West,26.5,8731008.0,60,0.2434,0.94,15.18,60362.0,84,0,0.0,699,0,0,0.658,52832.0,5.25,4.3,0.6,0.044273402449578225,0.044790861018306406,Stage 1,12,0.04479086101830643,0.044790861018306406,1785.1980972020697
UKSME-100044,2024-03-06,Professional Services,Yorkshire,6.0,251193.0,1,0.1319,3.71,3.85,116368.0,36,1,0.736,758,0,0,0.308,99379.0,5.25,4.3,0.6,0.13555284382067673,0.13713715802897292,Stage 1,12,0.13713715802897286,0.13713715802897292,4812.542114142325
UKSME-100045,2021-10-23,Healthcare,East of England,10.2,1808099.0,13,0.1177,0.08,168.19,284851.0,60,1,0.774,514,0,0,0.419,221787.0,5.25,4.3,0.6,3.1867747917003864e-10,0.001,Stage 1,12,0.0010000000000000009,0.001,106.54281531449999
UKSME-100046,2021-07-17,Technology,East Midlands,9.7,1841020.0,21,0.1306,4.59,3.11,174439.0,72,1,0.665,608,0,0,0.317,166104.0,5.25,4.3,0.6,0.17822391098531337,0.18030695599177363,Stage 2,60,0.6299535449007997,0.6299535449007997,38029.61566735507
UKSME-100047,2022-06-01,Manufacturing,West Midlands,4.7,3082631.0,37,0.0694,8.75,1.63,49012.0,24,1,0.823,767,0,1,0.389,43691.0,5.25,4.3,0.6,0.16968634059295037,0.17166960020431524,Stage 3,24,0.313868748774321,0.313868748774321,6115.9471159494105
UKSME-100048,2023-03-05,Hospitality,West Midlands,4.9,250416.0,1,-0.0067,162.57,-0.15,131785.0,36,0,0.0,661,0,0,0.604,124831.0,5.25,4.3,0.6,0.3341339286649031,0.3380392184082739,Stage 2,36,0.7099340306417732,0.7099340306417732,60704.2305101439
UKSME-100049,2023-04-08,Real Estate,South East,4.5,1233136.0,7,0.0638,9.56,1.49,41578.0,36,0,0.0,641,0,0,0.785,33389.0,5.25,4.3,0.6,0.2448174352409903,0.24767881188318047,Stage 2,36,0.5741958597393888,0.5741958597393888,17254.69093431851
UKSME-100050,2023-07-25,Wholesale,West Midlands,2.3,4671688.0,50,0.1285,4.78,2.99,60535.0,84,0,0.0,611,0,0,0.59,48327.0,5.25,4.3,0.6,0.23192751052299404,0.234638232333467,Stage 2,60,0.737376357850672,0.737376357850672,23512.9960779989
UKSME-100051,2022-10-02,Construction,Scotland,7.2,188441.0,2,-0.0618,63.91,-2.6,59406.0,60,0,0.0,724,0,1,0.581,58497.0,5.25,4.3,0.6,0.3350267558051521,0.33894248073146693,Stage 3,60,0.8737602145944785,0.8737602145944785,31324.927537814714
UKSME-100052,2023-04-29,Professional Services,West Midlands,4.8,821602.0,6,0.0593,6.4,2.23,36160.0,84,1,0.771,904,0,0,0.252,29277.0,5.25,4.3,0.6,0.13337533398529883,0.1349341978992769,Stage 1,12,0.13493419789927685,0.1349341978992769,1141.361461520295
UKSME-100053,2021-07-13,Hospitality,East of England,3.6,529589.0,3,-0.1141,153.73,-5.62,38398.0,24,0,0.0,707,0,0,0.889,37835.0,5.25,4.3,0.6,0.47276218852168866,0.47828773731364893,Stage 2,24,0.7278163149626878,0.7278163149626878,26876.505517819412
UKSME-100054,2024-04-16,Retail,London,7.0,3776936.0,38,-0.0305,1341.24,-1.23,20542.0,60,1,0.823,691,0,1,0.313,19886.0,5.25,4.3,0.6,0.5435391721885999,0.5498919480433297,Stage 3,60,0.9815250228306549,0.9815250228306549,6214.0793314098155
UKSME-100055,2021-04-06,Technology,London,8.7,1053602.0,5,-0.0016,179.0,-0.13,90026.0,60,0,0.0,638,0,1,0.67,89042.0,5.25,4.3,0.6,0.2992679826508121,0.3027657662725933,Stage 3,60,0.8352241682147363,0.8352241682147363,53350.0073352423
UKSME-100056,2022-12-01,Hospitality,East Midlands,12.2,1313402.0,12,0.0725,7.83,1.82,212498.0,48,0,0.0,612,0,0,0.528,207012.0,5.25,4.3,0.6,0.2617480154328589,0.2648072732702836,Stage 2,48,0.7078507285137399,0.7078507285137399,87839.26950500484
UKSME-100057,2022-08-16,Healthcare,North West,8.4,3313886.0,20,0.0782,4.33,3.3,96473.0,60,1,0.342,715,65,0,0.294,94828.0,5.25,4.3,0.6,0.31922322615460563,0.3229542426243445,Stage 2,60,0.8577376085721448,0.8577376085721448,25378.09796173915
UKSME-100058,2022-09-02,Healthcare,Scotland,7.6,1221304.0,12,0.0413,18.19,0.79,139502.0,72,1,0.942,827,0,0,0.113,135636.0,5.25,4.3,0.6,0.1612663510576187,0.16315119953515167,Stage 2,60,0.5895738821166585,0.5895738821166585,10360.142103830949
UKSME-100059,2023-07-11,Transport,West Midlands,19.8,570884.0,5,0.1088,2.81,5.09,153580.0,60,0,0.0,674,35,0,0.759,129801.0,5.25,4.3,0.6,0.24501958340616814,0.2478833227152065,Stage 2,60,0.7593277081083556,0.7593277081083556,82781.70445632467
UKSME-100060,2023-01-28,Transport,Yorkshire,8.4,287499.0,2,0.117,2.51,5.69,102450.0,48,1,0.461,600,0,1,0.236,94415.0,5.25,4.3,0.6,0.15282834919556437,0.15461457601483566,Stage 3,48,0.48923747878370694,0.48923747878370694,12498.18010969327
UKSME-100061,2023-11-29,Technology,East of England,1.8,701823.0,4,0.0605,6.51,2.2,421377.0,24,0,0.0,751,0,1,0.338,331635.0,5.25,4.3,0.6,0.21133253821169254,0.2138025501533602,Stage 3,24,0.3818935698546404,0.3818935698546404,49078.74672767183
UKSME-100062,2022-12-11,Professional Services,Yorkshire,18.7,1320810.0,9,0.1441,2.63,5.43,51832.0,12,0,0.0,542,0,0,0.574,45531.0,5.25,4.3,0.6,0.1582068184251517,0.16005590770439904,Stage 2,12,0.16005590770439904,0.16005590770439904,4795.841804170923
UKSME-100063,2022-11-19,Transport,South East,7.1,4379926.0,28,0.0784,4.29,3.33,40245.0,48,0,0.0,582,0,0,0.914,31387.0,5.25,4.3,0.6,0.2266231748028232,0.22927190061077662,Stage 2,48,0.647138097337129,0.647138097337129,20571.936950380885
UKSME-100064,2024-04-09,Construction,North East,19.9,738865.0,7,0.1081,5.91,2.42,87282.0,36,0,0.0,690,0,1,0.734,80504.0,5.25,4.3,0.6,0.19374263683150758,0.19600706156531097,Stage 3,36,0.4802952300061305,0.4802952300061305,32538.374412085075
UKSME-100065,2022-06-30,Transport,East of England,15.0,1077886.0,6,0.1639,3.63,3.94,39534.0,48,1,0.816,709,65,0,0.128,30986.0,5.25,4.3,0.6,0.31872462555724185,0.3224498144840949,Stage 2,48,0.7892508294129181,0.7892508294129181,3417.094296503584
UKSME-100066,2021-12-06,Healthcare,London,4.5,2357291.0,21,0.0396,3.53,4.05,12832.0,60,1,0.433,688,5,0,0.188,12436.0,5.25,4.3,0.6,0.1493098309511824,0.15105493404121567,Stage 2,60,0.5590412722811906,0.5590412722811906,1498.4991239451626
UKSME-100067,2021-08-14,Technology,East of England,4.7,1182448.0,8,0.1295,0.28,51.4,78164.0,36,1,0.75,646,0,0,0.439,59999.0,5.25,4.3,0.6,0.0005188857344507789,0.001,Stage 1,12,0.0010000000000000009,0.001,30.198306686499997
UKSME-100068,2022-12-28,Professional Services,East Midlands,20.0,525539.0,6,0.0669,7.13,2.0,87784.0,60,0,0.0,577,0,0,0.691,74225.0,5.25,4.3,0.6,0.21704554799012554,0.21958233243400704,Stage 2,60,0.7105087355014568,0.7105087355014568,41315.05514905651
UKSME-100069,2022-09-27,Real Estate,East of England,12.3,3242874.0,40,-0.0049,319.53,-0.71,162055.0,48,1,0.479,736,0,0,0.239,160477.0,5.25,4.3,0.6,0.2822966558731574,0.2855960820618548,Stage 2,48,0.7395194437776766,0.7395194437776766,31686.853181745024
UKSME-100070,2021-08-12,Retail,London,3.8,1162992.0,8,0.1518,3.76,3.8,82397.0,60,1,0.582,721,0,0,0.284,77319.0,5.25,4.3,0.6,0.16760709442235375,0.16956605222522997,Stage 2,60,0.6050651367613533,0.6050651367613533,15232.835692480006
UKSME-100071,2022-07-11,Real Estate,South West,16.6,3563398.0,23,0.09,4.22,3.39,216611.0,36,0,0.0,615,0,0,0.95,200487.0,5.25,4.3,0.6,0.1991777261815976,0.2015056751398879,Stage 2,36,0.4908854587437327,0.4908854587437327,102197.79364491765
UKSME-100072,2023-12-06,Transport,South East,13.1,122786.0,1,0.0765,2.82,5.06,70138.0,72,1,0.591,728,0,0,0.098,63414.0,5.25,4.3,0.6,0.1315825590301236,0.13312046935320898,Stage 1,12,0.13312046935320898,0.13312046935320898,948.4842490945646
UKSME-100073,2024-06-19,Manufacturing,Yorkshire,5.1,1688686.0,11,0.0638,3.31,4.32,70445.0,24,0,0.0,851,0,0,0.353,54599.0,5.25,4.3,0.6,0.13586248549129046,0.13745041872877414,Stage 1,12,0.13745041872877417,0.13745041872877414,3037.2428628096222
UKSME-100074,2023-11-23,Transport,London,5.0,5510007.0,37,0.0961,0.1,137.22,50724.0,120,1,0.429,669,0,0,0.295,42872.0,5.25,4.3,0.6,1.4541900701788524e-08,0.001,Stage 1,12,0.0010000000000000009,0.001,14.500060659999999
UKSME-100075,2023-09-01,Manufacturing,North West,6.1,666579.0,3,-0.0108,157.76,-0.65,208384.0,60,1,0.483,722,0,0,0.335,192071.0,5.25,4.3,0.6,0.2627158106795653,0.26578637991199183,Stage 2,60,0.7866404025526835,0.7866404025526835,55316.0074946572
UKSME-100076,2023-09-12,Technology,London,13.4,2144650.0,13,0.1434,3.34,4.28,241890.0,24,1,0.685,752,0,0,0.309,184968.0,5.25,4.3,0.6,0.1269653873904575,0.12844933314574272,Stage 1,12,0.1284493331457427,0.12844933314574272,8417.071049532828
UKSME-100077,2022-03-31,Real Estate,London,11.1,427992.0,4,0.0556,6.25,2.29,17461.0,72,1,0.752,658,0,0,0.146,17350.0,5.25,4.3,0.6,0.18144137826436724,0.183562028377303,Stage 2,60,0.6372428549021476,0.6372428549021476,1850.6801575503905
UKSME-100078,2022-08-30,Construction,East of England,8.5,3747766.0,21,0.1445,2.78,5.14,111547.0,60,1,0.679,596,0,1,0.146,110716.0,5.25,4.3,0.6,0.15610861110390475,0.1579331769605716,Stage 3,60,0.5766176163611014,0.5766176163611014,10686.247003826033
UKSME-100079,2022-11-04,Wholesale,East Midlands,7.4,1014163.0,7,0.0852,2.51,5.7,29689.0,60,0,0.0,664,0,0,0.765,25941.0,5.25,4.3,0.6,0.15701293907972907,0.15884807453877886,Stage 2,60,0.5789126285467008,0.5789126285467008,13171.499853989022
UKSME-100080,2022-03-04,Construction,London,10.4,409053.0,5,0.2087,2.02,7.07,104186.0,72,1,0.773,678,0,0,0.178,78142.0,5.25,4.3,0.6,0.11139691150911278,0.11269889606871138,Stage 1,12,0.11269889606871142,0.11269889606871138,1797.2075976861722
UKSME-100081,2024-02-25,Healthcare,West Midlands,15.6,655744.0,8,0.1123,1.96,7.3,47311.0,84,1,0.744,656,0,0,0.242,39189.0,5.25,4.3,0.6,0.09218577285239225,0.09326322151090968,Stage 1,12,0.09326322151090971,0.09326322151090968,1014.0608576697873
UKSME-100082,2023-07-03,Hospitality,London,3.0,3679507.0,29,0.0895,2.21,6.45,50459.0,36,0,0.0,553,0,1,0.811,38151.0,5.25,4.3,0.6,0.18434265674293918,0.18649721641163391,Stage 3,36,0.46163461321797405,0.46163461321797405,16375.67475138611
UKSME-100083,2023-08-15,Professional Services,Yorkshire,11.1,3061679.0,19,0.2863,1.47,9.75,754805.0,12,1,0.724,819,0,0,0.184,574952.0,5.25,4.3,0.6,0.07224387624203649,0.07308824804838579,Stage 1,12,0.07308824804838576,0.07308824804838579,8864.842478380928
UKSME-100084,2021-07-05,Transport,South East,22.4,1769391.0,12,0.0248,9.08,1.57,104425.0,60,0,0.0,639,65,1,0.427,93379.0,5.25,4.3,0.6,0.44978591885311225,0.4550429256546313,Stage 3,60,0.9519369337595261,0.9519369337595261,38967.844427870696
UKSME-100085,2023-10-02,Transport,East of England,5.3,790220.0,5,0.0491,14.49,0.99,162146.0,24,0,0.0,614,5,0,0.343,139460.0,5.25,4.3,0.6,0.2980609349640525,0.30154461085672724,Stage 2,24,0.5121600693767194,0.5121600693767194,28088.17715508116
UKSME-100086,2022-04-05,Professional Services,South West,2.2,935080.0,9,0.1286,0.08,120.27,91928.0,72,1,0.767,587,0,0,0.262,91143.0,5.25,4.3,0.6,1.1740151500876145e-07,0.001,Stage 1,12,0.0010000000000000009,0.001,27.377807769
UKSME-100087,2024-02-19,Wholesale,London,2.2,3708955.0,23,0.0719,9.85,1.45,85521.0,48,1,0.846,588,0,1,0.374,84537.0,5.25,4.3,0.6,0.2359852773618896,0.23874342553005168,Stage 3,48,0.6641663377167433,0.6641663377167433,24075.169492073845
UKSME-100088,2022-11-22,Professional Services,London,12.9,1147707.0,6,0.1272,4.32,3.31,5396.0,48,0,0.0,787,0,0,0.514,4437.0,5.25,4.3,0.6,0.1507733123669187,0.1525355203315911,Stage 2,48,0.4841944419523395,0.4841944419523395,1266.0370248295721
UKSME-100089,2021-05-09,Transport,London,3.9,594645.0,3,0.0644,7.94,1.8,24414.0,120,1,0.683,697,0,0,0.315,19337.0,5.25,4.3,0.6,0.20588232252603791,0.2082886334496695,Stage 2,60,0.6889469954918201,0.6889469954918201,4811.267686496588
UKSME-100090,2023-03-12,Technology,North West,12.8,1149848.0,8,-0.0111,619.41,-0.29,99527.0,36,0,0.0,607,95,1,0.656,77518.0,5.25,4.3,0.6,0.7391853809016148,0.747824830053095,Stage 3,36,0.9839635968202104,0.9839635968202104,50856.38970404517
UKSME-100091,2024-03-28,Real Estate,London,12.4,1455858.0,13,0.1628,2.85,5.01,139989.0,48,0,0.0,731,0,1,0.616,120178.0,5.25,4.3,0.6,0.14827097690779018,0.1500039380819853,Stage 3,48,0.4780034238311678,0.4780034238311678,40570.53650213702
UKSME-100092,2022-12-26,Wholesale,East Midlands,3.7,201984.0,1,0.0405,0.25,8.18,41148.0,36,1,0.412,818,0,0,0.11,39034.0,5.25,4.3,0.6,0.08630856503484147,0.08731732207769075,Stage 1,12,0.08731732207769072,0.08731732207769075,429.84334769780094
UKSME-100093,2021-11-24,Real Estate,South West,16.1,597393.0,5,0.0988,0.73,19.58,16633.0,60,1,0.899,726,0,0,0.356,12706.0,5.25,4.3,0.6,0.02148414723819699,0.021735249603615683,Stage 1,12,0.021735249603615725,0.021735249603615683,112.71910712167005
UKSME-100094,2022-03-03,Construction,Yorkshire,7.3,1515556.0,19,0.0887,5.19,2.75,70947.0,36,1,0.479,746,0,0,0.112,67080.0,5.25,4.3,0.6,0.16667829528592867,0.16862639747244884,Stage 2,36,0.42536947497269884,0.42536947497269884,3663.9661848171027
UKSME-100095,2021-01-02,Healthcare,East Midlands,5.5,334123.0,3,0.0865,1.8,7.92,120082.0,48,0,0.0,714,0,0,0.846,108059.0,5.25,4.3,0.6,0.10393190728468027,0.10514664238551129,Stage 1,12,0.1051466423855113,0.10514664238551129,10957.88186807434
UKSME-100096,2024-04-10,Manufacturing,East of England,4.2,1654745.0,12,0.1084,3.32,4.3,75851.0,36,1,0.398,829,0,0,0.215,71218.0,5.25,4.3,0.6,0.1230636470524906,0.12450199005625626,Stage 1,12,0.12450199005625628,0.12450199005625626,2185.6397754524023
