loan_id,origination_date,sector,region,years_trading,turnover_gbp,employees,ebitda_margin,leverage,interest_coverage,loan_amount_gbp,term_months,secured,ltv,bureau_score,days_past_due,default_12m,lgd,ead_gbp,boe_base_rate,uk_unemployment_rate,uk_gdp_yoy
UKSME-100035,2021-05-13,Healthcare,North East,7.6,4693271.0,30,0.0086,68.66,0.21,102542.0,36,1,0.403,889,0,1,0.36,89396.0,5.25,4.3,0.6
UKSME-100036,2023-06-19,Technology,South East,3.7,919011.0,6,0.1573,1.66,8.62,47662.0,12,1,0.503,651,0,0,0.334,44922.0,5.25,4.3,0.6
UKSME-100037,2022-06-08,Retail,West Midlands,5.8,263639.0,1,0.058,6.77,2.11,66099.0,72,0,,660,0,0,0.611,50149.0,5.25,4.3,0.6
UKSME-100038,2022-04-19,Technology,West Midlands,9.8,5704831.0,74,0.152,2.92,4.89,52977.0,48,1,0.812,634,0,0,0.248,42642.0,5.25,4.3,0.6
UKSME-100039,2021-05-06,Retail,South East,12.5,1251740.0,8,0.1546,2.25,6.34,277049.0,24,1,0.924,721,0,0,0.204,238157.0,5.25,4.3,0.6
UKSME-100040,2022-09-05,Hospitality,South West,19.8,233138.0,2,0.1017,3.69,3.87,52824.0,36,1,0.607,635,0,1,0.134,52573.0,5.25,4.3,0.6
UKSME-100041,2023-01-29,Technology,Scotland,6.5,2367234.0,33,0.1087,3.2,4.46,109784.0,60,0,,718,0,1,0.731,82762.0,5.25,4.3,0.6
UKSME-100042,2024-02-16,Professional Services,South East,24.0,1991981.0,15,0.0511,10.71,1.33,145479.0,24,1,0.614,737,0,0,0.472,119514.0,5.25,4.3,0.6
UKSME-100043,2021-01-10,Wholesale,South West,26.5,8731008.0,60,0.2434,0.94,15.18,60362.0,84,0,,699,0,0,0.658,52832.0,5.25,4.3,0.6
UKSME-100044,2024-03-06,Professional Services,Yorkshire,6.0,251193.0,1,0.1319,3.71,3.85,116368.0,36,1,0.736,758,0,0,0.308,99379.0,5.25,4.3,0.6
UKSME-100045,2021-10-23,Healthcare,East of England,10.2,1808099.0,13,0.1177,0.08,168.19,284851.0,60,1,0.774,514,0,0,0.419,221787.0,5.25,4.3,0.6
UKSME-100046,2021-07-17,Technology,East Midlands,9.7,1841020.0,21,0.1306,4.59,3.11,174439.0,72,1,0.665,608,0,0,0.317,166104.0,5.25,4.3,0.6
UKSME-100047,2022-06-01,Manufacturing,West Midlands,4.7,3082631.0,37,0.0694,8.75,1.63,49012.0,24,1,0.823,767,0,1,0.389,43691.0,5.25,4.3,0.6
UKSME-100048,2023-03-05,Hospitality,West Midlands,4.9,250416.0,1,-0.0067,162.57,-0.15,131785.0,36,0,,661,0,0,0.604,124831.0,5.25,4.3,0.6
UKSME-100049,2023-04-08,Real Estate,South East,4.5,1233136.0,7,0.0638,9.56,1.49,41578.0,36,0,,641,0,0,0.785,33389.0,5.25,4.3,0.6
UKSME-100050,2023-07-25,Wholesale,West Midlands,2.3,4671688.0,50,0.1285,4.78,2.99,60535.0,84,0,,611,0,0,0.59,48327.0,5.25,4.3,0.6
UKSME-100051,2022-10-02,Construction,Scotland,7.2,188441.0,2,-0.0618,63.91,-2.6,59406.0,60,0,,724,0,1,0.581,58497.0,5.25,4.3,0.6
UKSME-100052,2023-04-29,Professional Services,West Midlands,4.8,821602.0,6,0.0593,6.4,2.23,36160.0,84,1,0.771,904,0,0,0.252,29277.0,5.25,4.3,0.6
UKSME-100053,2021-07-13,Hospitality,East of England,3.6,529589.0,3,-0.1141,153.73,-5.62,38398.0,24,0,,707,0,0,0.889,37835.0,5.25,4.3,0.6
UKSME-100054,2024-04-16,Retail,London,7.0,3776936.0,38,-0.0305,1341.24,-1.23,20542.0,60,1,0.823,691,0,1,0.313,19886.0,5.25,4.3,0.6
UKSME-100055,2021-04-06,Technology,London,8.7,1053602.0,5,-0.0016,179.0,-0.13,90026.0,60,0,,638,0,1,0.67,89042.0,5.25,4.3,0.6
UKSME-100056,2022-12-01,Hospitality,East Midlands,12.2,1313402.0,12,0.0725,7.83,1.82,212498.0,48,0,,612,0,0,0.528,207012.0,5.25,4.3,0.6
UKSME-100057,2022-08-16,Healthcare,North West,8.4,3313886.0,20,0.0782,4.33,3.3,96473.0,60,1,0.342,715,65,0,0.294,94828.0,5.25,4.3,0.6
UKSME-100058,2022-09-02,Healthcare,Scotland,7.6,1221304.0,12,0.0413,18.19,0.79,139502.0,72,1,0.942,827,0,0,0.113,135636.0,5.25,4.3,0.6
UKSME-100059,2023-07-11,Transport,West Midlands,19.8,570884.0,5,0.1088,2.81,5.09,153580.0,60,0,,674,35,0,0.759,129801.0,5.25,4.3,0.6
UKSME-100060,2023-01-28,Transport,Yorkshire,8.4,287499.0,2,0.117,2.51,5.69,102450.0,48,1,0.461,600,0,1,0.236,94415.0,5.25,4.3,0.6
UKSME-100061,2023-11-29,Technology,East of England,1.8,701823.0,4,0.0605,6.51,2.2,421377.0,24,0,,751,0,1,0.338,331635.0,5.25,4.3,0.6
UKSME-100062,2022-12-11,Professional Services,Yorkshire,18.7,1320810.0,9,0.1441,2.63,5.43,51832.0,12,0,,542,0,0,0.574,45531.0,5.25,4.3,0.6
UKSME-100063,2022-11-19,Transport,South East,7.1,4379926.0,28,0.0784,4.29,3.33,40245.0,48,0,,582,0,0,0.914,31387.0,5.25,4.3,0.6
UKSME-100064,2024-04-09,Construction,North East,19.9,738865.0,7,0.1081,5.91,2.42,87282.0,36,0,,690,0,1,0.734,80504.0,5.25,4.3,0.6
UKSME-100065,2022-06-30,Transport,East of England,15.0,1077886.0,6,0.1639,3.63,3.94,39534.0,48,1,0.816,709,65,0,0.128,30986.0,5.25,4.3,0.6
UKSME-100066,2021-12-06,Healthcare,London,4.5,2357291.0,21,0.0396,3.53,4.05,12832.0,60,1,0.433,688,5,0,0.188,12436.0,5.25,4.3,0.6
UKSME-100067,2021-08-14,Technology,East of England,4.7,1182448.0,8,0.1295,0.28,51.4,78164.0,36,1,0.75,646,0,0,0.439,59999.0,5.25,4.3,0.6
UKSME-100068,2022-12-28,Professional Services,East Midlands,20.0,525539.0,6,0.0669,7.13,2.0,87784.0,60,0,,577,0,0,0.691,74225.0,5.25,4.3,0.6
UKSME-100069,2022-09-27,Real Estate,East of England,12.3,3242874.0,40,-0.0049,319.53,-0.71,162055.0,48,1,0.479,736,0,0,0.239,160477.0,5.25,4.3,0.6
UKSME-100070,2021-08-12,Retail,London,3.8,1162992.0,8,0.1518,3.76,3.8,82397.0,60,1,0.582,721,0,0,0.284,77319.0,5.25,4.3,0.6
UKSME-100071,2022-07-11,Real Estate,South West,16.6,3563398.0,23,0.09,4.22,3.39,216611.0,36,0,,615,0,0,0.95,200487.0,5.25,4.3,0.6
UKSME-100072,2023-12-06,Transport,South East,13.1,122786.0,1,0.0765,2.82,5.06,70138.0,72,1,0.591,728,0,0,0.098,63414.0,5.25,4.3,0.6
UKSME-100073,2024-06-19,Manufacturing,Yorkshire,5.1,1688686.0,11,0.0638,3.31,4.32,70445.0,24,0,,851,0,0,0.353,54599.0,5.25,4.3,0.6
UKSME-100074,2023-11-23,Transport,London,5.0,5510007.0,37,0.0961,0.1,137.22,50724.0,120,1,0.429,669,0,0,0.295,42872.0,5.25,4.3,0.6
UKSME-100075,2023-09-01,Manufacturing,North West,6.1,666579.0,3,-0.0108,157.76,-0.65,208384.0,60,1,0.483,722,0,0,0.335,192071.0,5.25,4.3,0.6
UKSME-100076,2023-09-12,Technology,London,13.4,2144650.0,13,0.1434,3.34,4.28,241890.0,24,1,0.685,752,0,0,0.309,184968.0,5.25,4.3,0.6
UKSME-100077,2022-03-31,Real Estate,London,11.1,427992.0,4,0.0556,6.25,2.29,17461.0,72,1,0.752,658,0,0,0.146,17350.0,5.25,4.3,0.6
UKSME-100078,2022-08-30,Construction,East of England,8.5,3747766.0,21,0.1445,2.78,5.14,111547.0,60,1,0.679,596,0,1,0.146,110716.0,5.25,4.3,0.6
UKSME-100079,2022-11-04,Wholesale,East Midlands,7.4,1014163.0,7,0.0852,2.51,5.7,29689.0,60,0,,664,0,0,0.765,25941.0,5.25,4.3,0.6
UKSME-100080,2022-03-04,Construction,London,10.4,409053.0,5,0.2087,2.02,7.07,104186.0,72,1,0.773,678,0,0,0.178,78142.0,5.25,4.3,0.6
UKSME-100081,2024-02-25,Healthcare,West Midlands,15.6,655744.0,8,0.1123,1.96,7.3,47311.0,84,1,0.744,656,0,0,0.242,39189.0,5.25,4.3,0.6
UKSME-100082,2023-07-03,Hospitality,London,3.0,3679507.0,29,0.0895,2.21,6.45,50459.0,36,0,,553,0,1,0.811,38151.0,5.25,4.3,0.6
UKSME-100083,2023-08-15,Professional Services,Yorkshire,11.1,3061679.0,19,0.2863,1.47,9.75,754805.0,12,1,0.724,819,0,0,0.184,574952.0,5.25,4.3,0.6
UKSME-100084,2021-07-05,Transport,South East,22.4,1769391.0,12,0.0248,9.08,1.57,104425.0,60,0,,639,65,1,0.427,93379.0,5.25,4.3,0.6
UKSME-100085,2023-10-02,Transport,East of England,5.3,790220.0,5,0.0491,14.49,0.99,162146.0,24,0,,614,5,0,0.343,139460.0,5.25,4.3,0.6
UKSME-100086,2022-04-05,Professional Services,South West,2.2,935080.0,9,0.1286,0.08,120.27,91928.0,72,1,0.767,587,0,0,0.262,91143.0,5.25,4.3,0.6
UKSME-100087,2024-02-19,Wholesale,London,2.2,3708955.0,23,0.0719,9.85,1.45,85521.0,48,1,0.846,588,0,1,0.374,84537.0,5.25,4.3,0.6
UKSME-100088,2022-11-22,Professional Services,London,12.9,1147707.0,6,0.1272,4.32,3.31,5396.0,48,0,,787,0,0,0.514,4437.0,5.25,4.3,0.6
UKSME-100089,2021-05-09,Transport,London,3.9,594645.0,3,0.0644,7.94,1.8,24414.0,120,1,0.683,697,0,0,0.315,19337.0,5.25,4.3,0.6
UKSME-100090,2023-03-12,Technology,North West,12.8,1149848.0,8,-0.0111,619.41,-0.29,99527.0,36,0,,607,95,1,0.656,77518.0,5.25,4.3,0.6
UKSME-100091,2024-03-28,Real Estate,London,12.4,1455858.0,13,0.1628,2.85,5.01,139989.0,48,0,,731,0,1,0.616,120178.0,5.25,4.3,0.6
UKSME-100092,2022-12-26,Wholesale,East Midlands,3.7,201984.0,1,0.0405,0.25,8.18,41148.0,36,1,0.412,818,0,0,0.11,39034.0,5.25,4.3,0.6
UKSME-100093,2021-11-24,Real Estate,South West,16.1,597393.0,5,0.0988,0.73,19.58,16633.0,60,1,0.899,726,0,0,0.356,12706.0,5.25,4.3,0.6
UKSME-100094,2022-03-03,Construction,Yorkshire,7.3,1515556.0,19,0.0887,5.19,2.75,70947.0,36,1,0.479,746,0,0,0.112,67080.0,5.25,4.3,0.6
UKSME-100095,2021-01-02,Healthcare,East Midlands,5.5,334123.0,3,0.0865,1.8,7.92,120082.0,48,0,,714,0,0,0.846,108059.0,5.25,4.3,0.6
UKSME-100096,2024-04-10,Manufacturing,East of England,4.2,1654745.0,12,0.1084,3.32,4.3,75851.0,36,1,0.398,829,0,0,0.215,71218.0,5.25,4.3,0.6
UKSME-100097,2023-12-09,Technology,North West,13.9,455470.0,2,0.2092,0.88,16.21,90720.0,48,0,,633,0,0,0.764,87248.0,5.25,4.3,0.6
UKSME-100098,2022-11-04,Hospitality,North East,7.6,853582.0,6,0.1578,5.02,2.85,44279.0,60,1,0.403,601,0,0,0.317,36360.0,5.25,4.3,0.6
UKSME-100099,2022-04-04,Transport,Yorkshire,12.5,5904565.0,74,0.0651,2.26,6.32,40768.0,24,1,0.43,702,5,0,0.405,39093.0,5.25,4.3,0.6
UKSME-100100,2022-01-16,Construction,Yorkshire,2.4,189180.0,1,0.0202,0.49,3.83,41521.0,60,1,0.67,699,0,0,0.342,38600.0,5.25,4.3,0.6
UKSME-100101,2022-03-22,Transport,West Midlands,18.3,707786.0,6,0.0988,4.32,3.31,32148.0,120,1,0.599,753,0,0,0.225,27439.0,5.25,4.3,0.6
UKSME-100102,2022-02-10,Professional Services,London,14.0,551162.0,3,0.1217,4.04,3.54,172997.0,12,1,0.509,592,0,0,0.367,141537.0,5.25,4.3,0.6
UKSME-100103,2023-04-15,Real Estate,West Midlands,3.7,92210.0,1,0.0996,5.2,2.75,78720.0,48,0,,673,5,0,0.657,71225.0,5.25,4.3,0.6
UKSME-100104,2023-10-28,Wholesale,London,6.0,759192.0,8,0.0378,16.2,0.88,76533.0,72,1,0.681,884,0,0,0.25,68745.0,5.25,4.3,0.6
UKSME-100105,2023-06-21,Manufacturing,West Midlands,7.0,503599.0,6,0.0888,5.09,2.81,76772.0,48,1,0.13,713,0,1,0.253,69288.0,5.25,4.3,0.6
UKSME-100106,2021-02-12,Wholesale,London,21.2,3762665.0,49,0.0872,7.43,1.92,83600.0,120,1,0.589,637,0,0,0.265,69005.0,5.25,4.3,0.6
UKSME-100107,2023-02-24,Retail,West Midlands,7.0,512927.0,3,0.0696,6.38,2.24,141083.0,72,1,0.421,785,0,0,0.355,106798.0,5.25,4.3,0.6
UKSME-100108,2022-08-21,Wholesale,North West,7.4,311413.0,2,0.0404,11.53,1.24,18408.0,72,0,,769,0,0,0.72,13942.0,5.25,4.3,0.6
UKSME-100109,2021-06-13,Professional Services,Scotland,2.8,425719.0,3,0.0588,4.39,3.25,141366.0,72,0,,599,5,1,0.817,113122.0,5.25,4.3,0.6
UKSME-100110,2022-02-01,Healthcare,North West,11.7,1182709.0,15,0.1195,2.65,5.39,151454.0,72,1,0.522,626,0,0,0.231,142276.0,5.25,4.3,0.6
UKSME-100111,2023-05-06,Retail,London,5.6,905825.0,5,0.1656,2.81,5.09,8180.0,48,0,,692,65,0,0.693,7441.0,5.25,4.3,0.6
UKSME-100112,2022-06-24,Hospitality,Yorkshire,3.7,139178.0,1,0.0924,2.23,6.4,75117.0,84,0,,598,0,0,0.87,71697.0,5.25,4.3,0.6
UKSME-100113,2023-08-04,Real Estate,South West,7.5,865324.0,7,0.0815,5.98,2.39,68476.0,24,1,0.458,684,0,0,0.125,52299.0,5.25,4.3,0.6
UKSME-100114,2023-02-22,Construction,London,14.5,395560.0,3,0.1121,0.09,44.34,175753.0,36,1,0.688,709,0,0,0.491,135730.0,5.25,4.3,0.6
UKSME-100115,2021-05-02,Retail,East Midlands,10.6,1319137.0,7,0.1503,1.25,11.46,218024.0,60,0,,666,0,0,0.894,174401.0,5.25,4.3,0.6
UKSME-100116,2022-06-18,Wholesale,North West,23.4,1369849.0,9,0.0282,12.11,1.18,30443.0,72,0,,545,0,0,0.602,26556.0,5.25,4.3,0.6
UKSME-100117,2022-02-17,Wholesale,West Midlands,9.7,383871.0,3,0.1124,0.97,14.73,125114.0,84,1,0.789,706,0,0,0.381,118297.0,5.25,4.3,0.6
UKSME-100118,2021-10-29,Real Estate,West Midlands,7.6,558994.0,3,0.0334,9.68,1.48,74104.0,72,1,0.509,732,35,0,0.316,65981.0,5.25,4.3,0.6
UKSME-100119,2023-10-12,Real Estate,Yorkshire,10.1,24667.0,1,0.1726,2.74,4.26,48420.0,60,1,0.586,649,0,0,0.388,42644.0,5.25,4.3,0.6
UKSME-100120,2022-05-31,Retail,East Midlands,6.5,545000.0,5,0.1182,2.55,5.61,80801.0,48,0,,653,0,0,0.43,64671.0,5.25,4.3,0.6
UKSME-100121,2024-02-07,Hospitality,London,9.1,1077032.0,9,0.1784,2.37,6.04,43427.0,36,1,0.789,736,0,1,0.28,33291.0,5.25,4.3,0.6
UKSME-100122,2022-10-22,Retail,East of England,6.8,1313005.0,8,0.1719,0.06,225.73,23671.0,48,1,0.713,635,0,0,0.127,19962.0,5.25,4.3,0.6
UKSME-100123,2022-07-01,Hospitality,Scotland,14.0,1732299.0,14,0.068,1.88,7.61,69809.0,24,0,,436,0,0,0.609,53542.0,5.25,4.3,0.6
UKSME-100124,2022-11-17,Wholesale,London,7.8,1520942.0,10,0.0656,5.03,2.84,60882.0,36,1,0.609,716,0,0,0.05,52166.0,5.25,4.3,0.6
UKSME-100125,2021-07-24,Wholesale,East of England,5.1,577927.0,7,0.1632,4.64,3.08,22418.0,72,1,0.453,749,0,0,0.192,17647.0,5.25,4.3,0.6
UKSME-100126,2021-07-18,Technology,West Midlands,4.4,1683012.0,12,0.1333,3.24,4.41,72822.0,24,0,,651,0,0,0.782,61116.0,5.25,4.3,0.6
UKSME-100127,2022-03-21,Professional Services,East Midlands,3.8,615732.0,6,0.0675,5.78,2.47,205618.0,48,1,0.727,754,0,0,0.408,190268.0,5.25,4.3,0.6
UKSME-100128,2023-08-24,Wholesale,West Midlands,12.3,610037.0,7,0.0325,14.75,0.97,317867.0,36,0,,666,0,1,0.568,292868.0,5.25,4.3,0.6
UKSME-100129,2021-08-31,Healthcare,Wales,5.5,1910212.0,21,0.1697,1.16,12.35,19900.0,84,0,,709,5,0,0.894,18018.0,5.25,4.3,0.6
UKSME-100130,2023-11-16,Real Estate,West Midlands,24.5,9073446.0,84,0.0543,0.86,16.59,45864.0,48,1,0.867,670,0,0,0.339,43460.0,5.25,4.3,0.6
UKSME-100131,2022-05-23,Healthcare,London,4.5,7730063.0,48,0.1648,3.05,4.68,61535.0,48,1,0.827,754,0,0,0.147,61383.0,5.25,4.3,0.6
UKSME-100132,2021-10-10,Hospitality,South West,6.8,631584.0,3,0.0427,10.18,1.4,468023.0,24,0,,580,0,1,0.589,402855.0,5.25,4.3,0.6
UKSME-100133,2022-07-29,Transport,Wales,3.8,941174.0,8,0.0483,8.75,1.63,42486.0,12,0,,706,0,0,0.454,35442.0,5.25,4.3,0.6
UKSME-100134,2021-09-22,Professional Services,Wales,9.7,4194804.0,40,0.179,1.82,7.84,10833.0,48,0,,650,0,0,0.416,9705.0,5.25,4.3,0.6
UKSME-100135,2021-06-05,Healthcare,South East,5.7,626698.0,5,0.1458,4.12,3.46,18646.0,72,1,0.874,705,0,1,0.339,17480.0,5.25,4.3,0.6
UKSME-100136,2023-07-25,Construction,South West,9.5,356666.0,2,0.1302,2.34,6.1,42841.0,84,1,0.543,653,0,0,0.354,35744.0,5.25,4.3,0.6
UKSME-100137,2022-04-05,Professional Services,East Midlands,13.3,512191.0,3,0.1516,2.77,5.16,17947.0,36,1,0.393,679,0,0,0.369,14156.0,5.25,4.3,0.6
UKSME-100138,2022-02-28,Manufacturing,London,4.0,771393.0,4,0.1253,3.61,3.95,57896.0,72,0,,615,0,0,0.538,55856.0,5.25,4.3,0.6
UKSME-100139,2022-02-02,Hospitality,North East,16.8,151717.0,1,0.1317,3.65,3.91,289222.0,24,0,,637,0,0,0.46,261841.0,5.25,4.3,0.6
UKSME-100140,2022-11-26,Technology,South East,14.2,565060.0,4,0.1477,3.52,4.05,39495.0,60,0,,631,0,0,0.837,29895.0,5.25,4.3,0.6
UKSME-100141,2023-11-25,Professional Services,London,5.1,1212918.0,9,0.1601,0.06,194.14,39374.0,48,0,,769,0,0,0.375,38721.0,5.25,4.3,0.6
UKSME-100142,2022-05-20,Technology,Scotland,10.1,1069794.0,13,0.0039,76.94,0.19,8413.0,60,0,,814,0,0,0.734,7333.0,5.25,4.3,0.6
UKSME-100143,2021-08-02,Transport,East of England,12.8,607102.0,8,-0.0325,160.36,-1.76,39215.0,120,1,0.397,677,0,0,0.15,36058.0,5.25,4.3,0.6
UKSME-100144,2022-10-15,Manufacturing,South East,17.4,1124928.0,6,0.0709,7.12,2.01,8553.0,36,1,0.391,643,0,0,0.168,7245.0,5.25,4.3,0.6
UKSME-100145,2021-07-02,Professional Services,South West,14.7,7970914.0,44,0.0964,2.8,5.1,40635.0,48,1,0.8,684,0,0,0.325,39802.0,5.25,4.3,0.6
UKSME-100146,2021-04-13,Retail,North West,14.4,1773900.0,10,0.1491,0.73,19.54,124136.0,24,0,,764,0,0,0.478,120662.0,5.25,4.3,0.6
UKSME-100147,2022-10-17,Retail,London,5.9,5159757.0,36,0.1139,4.68,3.06,26194.0,24,1,0.651,714,0,0,0.219,23707.0,5.25,4.3,0.6
UKSME-100148,2021-10-23,Wholesale,North West,3.8,1395324.0,11,0.2141,1.46,9.78,36614.0,84,0,,673,0,0,0.543,34348.0,5.25,4.3,0.6
UKSME-100149,2024-02-05,Wholesale,North West,2.5,264871.0,2,0.1551,1.91,7.47,265689.0,72,0,,541,0,1,0.738,213648.0,5.25,4.3,0.6
UKSME-100150,2024-02-16,Healthcare,South West,5.2,332547.0,3,0.1889,0.68,20.94,60269.0,84,1,0.886,813,0,0,0.113,54276.0,5.25,4.3,0.6
UKSME-100151,2022-07-30,Retail,London,2.2,3991734.0,22,0.2135,1.21,11.84,70167.0,12,1,0.444,669,0,0,0.095,56800.0,5.25,4.3,0.6
UKSME-100152,2024-06-11,Wholesale,Scotland,11.3,391595.0,3,0.0734,4.9,2.92,69859.0,48,1,0.178,589,95,1,0.38,61225.0,5.25,4.3,0.6
UKSME-100153,2021-03-18,Real Estate,Wales,3.8,1415260.0,8,0.258,0.04,365.1,45953.0,72,1,0.528,724,0,0,0.171,41851.0,5.25,4.3,0.6
UKSME-100154,2023-10-01,Professional Services,South West,14.7,1188158.0,13,0.1756,2.36,6.05,52991.0,36,0,,626,0,0,0.841,44361.0,5.25,4.3,0.6
UKSME-100155,2021-06-14,Technology,East Midlands,16.5,1080853.0,7,0.0949,7.19,1.99,298258.0,48,1,0.528,702,0,1,0.217,247846.0,5.25,4.3,0.6
UKSME-100156,2023-06-02,Real Estate,North East,11.1,953420.0,5,-0.0064,574.33,-0.15,32365.0,72,1,0.532,510,0,0,0.135,27213.0,5.25,4.3,0.6
